Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU047FS0006O,13/11/2014,Activité sportive # Formule itinérante,ACCROVELO,,,6352 avenue du docteur Jean Nogues,Las Pradines,47550,BOE,47031,+33 5 53 98 45 39,,,0.66998805,44.1827110,"
",Cyclotourisme VTT,,,,,,,,,
ASCAQU033FS000UU,24/11/2014,Activité sportive,Antenne d'Audenge - Office de Tourisme du Coeur du Bassin d'Arcachon,"20 allées de Boissière
",,,,33980,AUDENGE,33019,+33 5 57 75 67 56,,www.tourisme-coeurdubassin.com,-1.0151168,44.6834363,"
",Cyclotourisme Cyclotourisme,,,,01/01/2014|31/12/2014|||||,Tarif de base|||,,,,
ASCAQU033FS000UV,17/07/2014,Activité sportive,Antenne de Biganos - Office de Tourisme du Coeur du Bassin d'Arcachon,"rue Jean Zay
",,,,33380,BIGANOS,33051,+33 5 57 70 67 56,,www.tourisme-coeurdubassin.com,-0.9754014,44.6420326,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU033FS00021,24/11/2014,Activité sportive,Antenne de Lanton - Office de Tourisme du Coeur du Bassin d'Arcachon,"1, route du Stade
",Cassy,,,33138,LANTON,33229,+33 5 57 70 67 56,,www.tourisme-coeurdubassin.com,-1.059453,44.716874,"
",Cyclotourisme Cyclotourisme,,,,01/01/2014|31/12/2014|||||,Tarif de base|||,,,,
ASCAQU024FS000EN,11/02/2014,Activité sportive,Atout Loc,,,26 Route du Lot,,24200,SARLAT-LA-CANEDA,24520,+33 5 53 28 18 33,,http://pro.pagesjaunes.fr/atoutloc,1.2175501,44.8771267,"
",Cyclotourisme,,,,,,,,,
ASCAQU04001WV7LD,16/10/2014,Activité sportive,Au Vélo pour Tous,"997 Avenue de la Plage
",,,,40600,BISCARROSSE PLAGE,40046,+33 5 58 78 26 59,,www.auvelopourtous.fr # auvelopourtous-location-biscarrosse.fr,-1.2437395,44.4419847,"
",Cyclotourisme VTT,,,Accueil Vélo # Vélodyssée,01/04/2014|30/09/2014|||||,,,,,
ASCAQU033FS0006J,18/10/2014,Activité sportive,Auto Loc Cap Ferret,"44, avenue de l'Océan
",Cap Ferret,,,33970,LEGE-CAP FERRET,33236,+33 5 56 03 72 34 # +33 5 56 60 70 86,,www.auto-loc.fr ,-1.2477636,44.6550085,"
",Cyclotourisme VTT,,,,01/04/2014|31/12/2014|||||,,,,,
ASCAQU033FS00128,18/10/2014,Activité sportive,Auto Loc Le Canon,"Route du Cap Ferret
",Le Canon,,,33950,LEGE-CAP FERRET,33236,+33 5 56 03 72 34,,www.auto-loc.fr,-1.2259430,44.7047691,"
",Cyclotourisme VTT,,,,01/06/2014|30/09/2014|||||,,,,,
ASCAQU024FS000DB,26/09/2014,Activité sportive,Base de loisirs de Rouffiac,,,,,24270,LANOUAILLE,24227,+33 5 53 52 68 79,,www.semitour-locations-perigord.com ,1.1392110,45.3921760,"
",VTT VTT,,,,,,,,,
ASCAQU024FS000BS,01/08/2014,Activité sportive,Base nautique de Chandos-Loc à cistude,,,Avenue André Malraux,,24700,MONTPON-MENESTEROL,24294,,+33 7 70 67 04 57,www.locacistude.fr,0.16496658,45.0137244,"
",Canoé kayak VTT,,,,01/04/2014|31/10/2014|||||,"Tarif de base|5,00|16,00|canoë ou kayak par personne suibant le parcours # Tarif de base|5,00|70,00|location de VTT adulte d'une heure à une semaine # Tarif groupe|3,00|20,00|Tarifs spéciaux enfants et groupes",,,,
ASCAQU024FS000CL,09/10/2014,Activité sportive,Beaumont Autos Sarl,,,Route de Saint Avit Senieur,,24440,BEAUMONT-DU-PERIGORD,24028,+33 5 53 22 61 62,,,0.7693340,44.7700520,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,,,,,
ASCAQU033FS000EU,31/10/2014,Activité sportive,Bicy'cool,"111 avenue Maubuisson
",,,,33121,CARCANS-MAUBUISSON,33097,+33 5 56 03 43 23,+33 6 01 74 34 88,,-1.134118,45.063502,"
",VTT Cyclotourisme,,,Accueil Vélo # Vélodyssée,01/04/2014|11/11/2014|||||,,,,,
ASCAQU024FS00055,27/03/2014,Activité sportive,Bike Bus Dordogne,,,,Maisonneuve,24250,CASTELNAUD-LA-CHAPELLE,24086,,+33 6 08 94 42 01,www.bike-bus.com,1.1583772,44.8052733,"
",VTT,,,,,"Tarif de base||15,00| adulte pour 1/2 journée # Tarif de base||20,00|adulte pour une journée  # Tarif réduit||10,00|enfant une journée # Tarif réduit||5,00|enfant pour 1/2 journée # Tarif groupe|||groupes adultes 10 pers -10%",,,,
ASCAQU04001OYXPE,01/08/2014,Activité sportive,Bike Factory,,,619 avenue du Touring Club,,40150,HOSSEGOR,40304,+33 5 58 43 76 75,,www.bike-factory.fr ,-1.4280400,43.6598082,"
",Cyclotourisme,,,Accueil Vélo # Vélodyssée,||||||Dimanche - Lundi # ||||||Dimanche - Lundi,Tarif de base|||A partir de 39  la semaine,,,,
ASCAQU033FS0011J,01/08/2014,Activité sportive,Bordeaux Scooters - Holland Bikes,"47-49 rue de Tauzia
",,,,33000,BORDEAUX,33063,+33 5 57 59 10 18,,www.bordeauxscooters.com,-0.5584725,44.8290821,"
",Cyclotourisme VTT Scooter,,,,01/01/2014|31/12/2014|09:00|12:00|14:00|18:00|Dimanche,"Tarif de base|14,00|59,00|location de 24h à une semaine",,,,
ASCAQU024FS000AS,13/09/2014,Activité sportive,Camping de l'ilot,,,,Le Maine,24640,CUBJAC,24147,+33 5 53 05 39 79 # +33 5 53 05 53 05,,www.domainelafaurie.com/campingdelilot/canoevtt.html,0.94000635,45.2211552,"
",Canoé kayak VTT,,,,,"Tarif de base|9,00|14,00|location de canoë # Tarif de base|6,00|30,00|location de VTT",,,,
ASCAQU047FS00048,06/11/2014,Activité sportive,Cap Cauderoue,,,,Pin,47230,BARBASTE,47021,+33 5 53 65 52 74,+33 6 48 16 60 90,www.cap-cauderoue.com,0.29046177,44.1370540,"
",Canoé kayak Tir à larc Randonnée équestre Orientation Balade à poney Accro-branches Beach volley Escalade Orientation Canoé kayak Pétanque Orientation VTT,,,Sourire du Lot-et-Garonne,,,,,,
ASCAQU033FS0015K,27/10/2014,Activité sportive,Caverne o Services,"29 bis avenue de Verdun
",,,,33260,CAZAUX,33529,+33 5 56 22 22 22,+33 6 67 17 15 40,www.caverneoservices.com,-1.1536582,44.5362778,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|||||,|||Vélos adultes (la journée)  # |||Vélos enfants (la journée) ,,,,
ASCAQU033FS000ES,17/11/2014,Activité sportive,Central Garage,"15 avenue de l'Europe
",,,,33680,LACANAU OCEAN,33214,+33 5 56 26 99 65,,http://www.centralgarage-lacanau.fr,-1.1953371,45.0019253,"
",VTT Cyclotourisme Quad Scooter,,,Accueil Vélo # Vélodyssée,01/03/2014|30/11/2014|||||,,,,,
ASCAQU047FS00087,23/10/2014,Activité sportive,Clinic'vélo,,,,Roussel,47500,MONTAYRAL,47185,+33 5 53 75 06 97,,,0.97465038,44.4857138,"
",Cyclotourisme,,,,01/01/2014|31/12/2014|09:00|12:00|14:00|18:00|Dimanche - Lundi,"Tarif de base|6,00|60,00| # Tarif de base|9,00|9,00|1/2 journée tarif adulte # Tarif de base|6,00|6,00|1/2 journée tarif enfant # Tarif de base|12,00|12,00|1 journée tarif adulte # Tarif de base|8,00|8,00|1 journée tarif enfant # Tarif de base|60,00|60,00|1 semaine tarif adulte # Tarif de base|37,00|37,00|1 semaine tarif enfant",,,,
